s_names,t_names,values
UserA,PV sys,-0.0
UserA,National Grid EE,1.0
UserA,Storage EE,-0.0
UserA,Gas Boiler,1.0
UserA,HP,1.1389205818687786e-11
UserA,AC,1.0
UserA,Storage HW,-0.0
UserA,Radiators,1.0
UserA,Floor heating,6.396514253839851e-15
UserA,Induction stove,5.2527665998764614e-15
UserA,Gas stove,1.0
UserA,Gas National Grid,1.0
UserB,PV sys,0.0
UserB,National Grid EE,1.0
UserB,Storage EE,-0.0
UserB,Gas Boiler,0.9999999964927856
UserB,HP,2.28394692557826e-11
UserB,AC,1.0
UserB,Storage HW,-0.0
UserB,Radiators,1.0
UserB,Floor heating,3.323469925789796e-15
UserB,Induction stove,-0.0
UserB,Gas stove,1.0
UserB,Gas National Grid,1.0
UserC,PV sys,0.0
UserC,National Grid EE,1.0
UserC,Storage EE,0.0
UserC,Gas Boiler,1.0
UserC,HP,0.0
UserC,AC,1.0
UserC,Storage HW,0.0
UserC,Radiators,1.0
UserC,Floor heating,0.0
UserC,Induction stove,0.0
UserC,Gas stove,1.0
UserC,Gas National Grid,1.0
UserD,PV sys,-0.0
UserD,National Grid EE,1.0
UserD,Storage EE,-0.0
UserD,Gas Boiler,1.0
UserD,HP,1.791599874473678e-11
UserD,AC,1.0
UserD,Storage HW,-0.0
UserD,Radiators,1.0
UserD,Floor heating,0.0
UserD,Induction stove,0.0
UserD,Gas stove,1.0
UserD,Gas National Grid,1.0
